scene,slug,shot,start_seconds,end_seconds,start_tc,end_tc,duration_seconds,detection_score
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,17,103.020,136.637,00:01:43.020,00:02:16.637,33.617,32.10
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,18,136.637,138.472,00:02:16.637,00:02:18.472,1.835,62.93
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,19,138.472,138.930,00:02:18.472,00:02:18.930,0.459,26.42
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,20,138.930,143.435,00:02:18.930,00:02:23.435,4.505,18.03
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,21,143.435,144.853,00:02:23.435,00:02:24.853,1.418,18.39
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,22,144.853,161.411,00:02:24.853,00:02:41.411,16.558,18.40
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,23,161.411,163.455,00:02:41.411,00:02:43.455,2.044,17.25
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,24,163.455,165.832,00:02:43.455,00:02:45.832,2.377,12.28
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,25,165.832,169.961,00:02:45.832,00:02:49.961,4.129,21.64
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,26,169.961,174.091,00:02:49.961,00:02:54.091,4.129,26.48
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,27,174.091,175.550,00:02:54.091,00:02:55.550,1.460,13.00
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,28,175.550,180.472,00:02:55.550,00:03:00.472,4.922,20.94
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,29,180.472,182.808,00:03:00.472,00:03:02.808,2.336,9.45
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,30,182.808,184.893,00:03:02.808,00:03:04.893,2.085,31.77
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,31,184.893,188.480,00:03:04.893,00:03:08.480,3.587,21.50
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,32,188.480,190.148,00:03:08.480,00:03:10.148,1.668,13.29
Escena 1- EXT. CIELO : ISLA TIERRA DEL FUEGO - NOCHE,escena_1-_ext_cielo_isla_tierra_del_fuego_-_noche,33,190.148,191.608,00:03:10.148,00:03:11.608,1.460,20.33
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,1,0.000,11.000,00:00:00.000,00:00:11.000,11.000,0.00
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,2,11.000,12.417,00:00:11.000,00:00:12.417,1.417,31.42
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,3,12.417,14.000,00:00:12.417,00:00:14.000,1.583,30.67
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,4,14.000,25.125,00:00:14.000,00:00:25.125,11.125,8.72
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,5,25.125,27.500,00:00:25.125,00:00:27.500,2.375,8.25
Escena 10 -INT. HARUWEN DEL OESTE- NOCHE,escena_10_-int_haruwen_del_oeste-_noche,6,27.500,32.167,00:00:27.500,00:00:32.167,4.667,8.64
